"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"
"4884"	"1"	"IMG_5354.jpg"	"4EEAB1"	"june"	"2016"	"C1"	"CAL13-1701"	NA	"4EEAB1"
"1666"	"5"	"IMG_6076.jpg"	"C96CE7"	"august"	"2013"	"C1"	"CAL13-1702"	NA	"C96CE7"
"1668"	"7"	"IMG_6078.jpg"	"C9868D"	"august"	"2013"	"C1"	"CAL13-1703"	NA	"C9868D"
"2433"	"10"	"C9868D.jpg"	"C9868D"	"june"	"2014"	"C1"	"CAL13-1703"	NA	"C9868D"
"3116"	"9"	"IMG_9946.JPG"	"C9868D"	"august"	"2014"	"C1"	"CAL13-1703"	NA	"C9868D"
"1670"	"9"	"IMG_6081.jpg"	"4EDDE4"	"august"	"2013"	"C1"	"CAL13-1704"	NA	"4EDDE4"
"1671"	"10"	"IMG_6082.jpg"	"4EE013"	"august"	"2013"	"C1"	"CAL13-1705"	NA	"4EE013"
"1672"	"11"	"IMG_6083.jpg"	"4EE902"	"august"	"2013"	"C1"	"CAL13-1706"	NA	"4EE902"
"3696"	"12"	"IMG_4558.JPG"	"4EE902"	"june"	"2015"	"C1"	"CAL13-1706"	NA	"4EE902"
"4235"	"11"	"IMG_6995.JPG"	"4EE902"	"august"	"2015"	"C1"	"CAL13-1706"	NA	"4EE902"
"5376"	"4"	"IMG_1991.JPG"	"4EE902"	"june"	"2017"	"C1"	"CAL13-1706"	NA	"4EE902"
"1673"	"12"	"IMG_6084.jpg"	"4EF922"	"august"	"2013"	"C1"	"CAL13-1707"	NA	"4EF922"
"2428"	"5"	"4EF922.jpg"	"4EF922"	"june"	"2014"	"C1"	"CAL13-1707"	NA	"4EF922"
"3685"	"1"	"IMG_4547.JPG"	"4EF922"	"june"	"2015"	"C1"	"CAL13-1707"	NA	"4EF922"
"1674"	"13"	"IMG_6085.jpg"	"C971B4"	"august"	"2013"	"C1"	"CAL13-1708"	NA	"C971B4"
"1675"	"14"	"IMG_6086.jpg"	"C974EE"	"august"	"2013"	"C1"	"CAL13-1709"	NA	"C974EE"
"1676"	"15"	"IMG_6087.jpg"	"C98F91"	"august"	"2013"	"C1"	"CAL13-1710"	NA	"C98F91"
"2434"	"11"	"C98F91.jpg"	"C98F91"	"june"	"2014"	"C1"	"CAL13-1710"	NA	"C98F91"
"4234"	"10"	"IMG_6994.JPG"	"C98F91"	"august"	"2015"	"C1"	"CAL13-1710"	NA	"C98F91"
"3121"	"14"	"IMG_9951.JPG"	"C96461"	"august"	"2014"	"C1"	"CAL13-1712"	NA	"C96461"
"3695"	"11"	"IMG_4557.JPG"	"C96461"	"june"	"2015"	"C1"	"CAL13-1712"	NA	"C96461"
"1690"	"6"	"IMG_6093.jpg"	"C96461"	"august"	"2013"	"C2"	"CAL13-1712"	NA	"C96461"
"2460"	"15"	"IMG_9169.jpg"	"C96461"	"june"	"2014"	"C2"	"CAL13-1712"	NA	"C96461"
"1678"	"17"	"IMG_7063.JPG"	"184582"	"august"	"2013"	"C1"	"CAL13-1899"	NA	"184582"
"3115"	"8"	"IMG_9944.JPG"	"184582"	"august"	"2014"	"C1"	"CAL13-1899"	NA	"184582"
"3691"	"7"	"IMG_4553.JPG"	"184582"	"june"	"2015"	"C1"	"CAL13-1899"	NA	"184582"
"3703"	"19"	"IMG_5696.JPG"	"184582"	"june"	"2015"	"C1"	"CAL13-1899"	NA	"184582"
